ActualOperatingYear,ActualorExpectedCompletionYear,CarbonMonoxideCO,Classification,CoalplantCO2eequivalency,Gas-poweredvehiclesequivalency,GreenhouseGasesCO2e,HazardousAirPollutantsHAPs,HazardousAirPollutantsHAPspotentiallbsperyear,IndustrySector,MortalitycostofadditionalCO2edeaths,NitrogenOxidesNOx,OperatingStatus,OperatingStatusSourceDocuments,OperatingStatusSourceDocuments_OLD,ParticulateMatterPM25,PermittingandEmissionsAccountingNotes,ProjectDescription,ProjectType,Published,ResearchNotes,SocialcostofadditionalCO2eLowerEstimate,SocialcostofadditionalCO2eUpperEstimate,SulfurDioxideSO2,VolatileOrganicCompoundsVOC,created_by,id,id_qaqc,modified_by,project_name,xata,ProductType,ConstructionStatusLastUpdated,ProjectCostmillion,CurrentExpectedOperatingYear,OriginalExpectedOperatingYear,TotalWetlandsAffectedPermanentlyacres,TotalWetlandsAffectedTemporarilyacres,PlasticsInventory,ConstructionStatusLastChecked,PlasticsInventory_ToAdd
,2024,9.59,Expansion,0.01,7850.0,38853.0,0.2,400.0,Liquefied Natural Gas (LNG),8.0,3.12,Proposed,[],,0.808,"TW 05/19/23
- Emissions from RR9 Table 9.2-4 (PDF pg. 131 in app)","The Elba Liquefaction Optimization Project involves (1) modifying ten Movable Modular Liquefaction System (MMLS) units, (2) constructing a new condensate plant, and (3) installing three new liquid nitrogen vaporizers. The project is expected to increase total liquefaction capacity by 0.4 million metric tons per year (MTPA).",LNG Export Terminal or Liquefaction Plant,True," TW 05/19/23
- Wetland impacts (none) from RR2 (PDF pg. 90 in app)
- Workforce numbers from RR1 (PDF pg. 56 in app)
- Cost from application (PDF pg. 16 in app)",1797590.0,6696903.0,2.95,2.31,Tyler Weiglein,6388,6388,Alexandra Shaykevich,Elba Liquefaction Optimization Project,"{'createdAt': '2023-05-19T14:10:02.649Z', 'updatedAt': '2024-07-30T17:51:09.234636Z', 'version': 45}",,2023-05-19T00:00:00Z,64.3,2024,,0.0,0.0,,,
,2026,,New,,,,,,Carbon Capture Use and Storage (CCUS),,,Proposed,[],,,,Initial construction of the project.,"Carbon Capture from Industry, Carbon Sequestration Site or Hub",True,"https://www.bizjournals.com/houston/news/2022/05/17/bp-linde-carbon-capture-storage-project-houston.html https://www.bizjournals.com/houston/news/2022/05/17/bp-linde-carbon-capture-storage-project-houston.html
https://www.energy.gov/fecm/project-selections-foa-2711-carbon-storage-validation-and-testing-round-1",,,,,Lottie Mitchell,6393,6393,Lottie Mitchell,Lone Star CCS Hub - Initial Construction,"{'createdAt': '2023-05-22T14:35:36.435Z', 'updatedAt': '2024-04-08T17:49:47.162802Z', 'version': 7}",,2023-05-22T00:00:00Z,68.0,2026,,,,,,
,Unknown,,New,,,,,,Carbon Capture Use and Storage (CCUS),,,Proposed,[],,,,Initial construction of the hub.,Carbon Sequestration Site or Hub,True,,,,,,Lottie Mitchell,6398,6398,Lottie Mitchell,Magnolia Sequestration Hub - Initial Construction,"{'createdAt': '2023-05-22T15:24:15.545Z', 'updatedAt': '2024-04-08T17:49:47.266325Z', 'version': 7}",,2023-05-22T00:00:00Z,27.0,Unknown,,,,,,
,Unknown,,New,,,,,,Carbon Capture Use and Storage (CCUS),,,Proposed,[],,,,"Initial construction of the hub, which is expected to sequester 2.6 million metric tons of CO2 per year. Tenaska plans to begin construction in 2025, with initial injection a year later.",Carbon Sequestration Site or Hub,True,"PB 6/6/24 - added operating date and fleshed out description

https://www.energy.gov/fecm/project-selections-foa-2711-carbon-storage-validation-and-testing-round-1 DOE funding announcement says SSEB ""has secured commitments from four separate carbon dioxide (CO2) emitters in the region"" but can't find details on who these are",,,,,Lottie Mitchell,6399,6399,PB,Longleaf CCS Hub - Initial Construction,"{'createdAt': '2023-05-22T16:05:42.832Z', 'updatedAt': '2024-06-06T18:28:24.698144Z', 'version': 8}",,2023-05-22T00:00:00Z,24.0,2026,,,,,,
,2028,,New,,,,,,Other,,,Proposed,[],,,,Initial construction of the plant.,"Hydrogen Plant, Renewable Diesel or Gasoline Refinery",True,https://www.seattletimes.com/business/boeing-aerospace/new-800m-sustainable-aviation-fuel-plant-planned-for-washington-state/ https://skynrg.com/producing-saf/skynrg-pacific-northwest/,,,,,Lottie Mitchell,6404,6404,Lottie Mitchell,SkyNRG Washington Plant - Initial Construction,"{'createdAt': '2023-05-22T17:25:28.343Z', 'updatedAt': '2024-04-08T17:49:47.513183Z', 'version': 5}",Green Hydrogen,2023-05-22T00:00:00Z,800.0,2028,,,,,,
,2025,,New,,,,,,Carbon Capture Use and Storage (CCUS),,,On Hold,[],,,,Construction of two test wells for the geologic storage of carbon dioxide.,Carbon Sequestration Site or Hub,True,"5/5/2023 JPA, Section 9
Proposed project start date: 05/01/2023
Proposed project completion date: 12/31/2025

https://sonlite.dnr.state.la.us/pls/apex/f?p=129:570:::::P570_CUP_NUM,P570_SHOW_APPL_EMAIL:P20221080,N: ",,,,,Alexandra Shaykevich,6411,6411,Alexandra Shaykevich,Pecan Island Area CCS Project,"{'createdAt': '2023-05-23T13:25:50.432Z', 'updatedAt': '2024-04-08T17:49:47.634728Z', 'version': 8}",,2023-05-23T00:00:00Z,,2025,,38.8,65.99,,,
,2026,36.13,Expansion,,,,,,Petrochemicals and Plastics,,12.09,Proposed,[],,2.3,"GB 9/16/24: PTE comes from plain language summary

no air permit application as of 5/26/23; ","Construction of a molecular plastics recycling facility at Eastman's Longview Plant that would be capable of processing about 240 million pounds of plastic waste annually. The new facility would include a mixed plastic waste processing unit to isolate polyesters from other plastics, and methanolysis/polymerization units to break down polyesters into their molecular building blocks and produce ""recycled"" PET plastics and intermediates. The project will receive up to $375 million in Bipartisan Infrastructure Bill and Inflation Reduction Act funding from the U.S. Department of Energy.",Chemical Recycling Plant,True,"AS 3/27 - added capacity to project description; project to create 200 jobs and 1000 construction jobs; awarded around $70 million in state and local tax incentives
https://www.plasticsnews.com/news/eastman-picks-texas-chemical-recycling-expansion?utm_source=pn-daily-report&utm_medium=email&utm_campaign=20240325&utm_content=article3-readmore

federal grant: https://resource-recycling.com/plastics/2024/03/26/eastman-sites-second-chemical-recycling-facility/#:~:text=Eastman%20is%20planning%20to%20build,funding%2C%20a%20press%20release%20noted.
Expected to be online by the end of 2026
https://www.icis.com/explore/resources/news/2022/10/28/10820016/eastman-confirms-offtake-agreement-with-pepsico-for-third-us-chemical-recycling-site/

construction would begin in Q4 2024; commercial operations Q4 2026 - 313 app, pg 10 ",,,0.61,52.72,Alexandra Shaykevich,6419,6419,GB,Eastman Longview - New Chemical Recycling Plant,"{'createdAt': '2023-05-26T13:55:01.506Z', 'updatedAt': '2024-09-16T12:57:43.545647Z', 'version': 10}",Polyethylene Terephthalate (PET),2024-03-27T00:00:00Z,,2026,,,,,,
2022,2022,0.0,Expansion,,,,,,Petrochemicals and Plastics,,0.0,Operating,[],,0.78,"6/1/2023: emissions from permit mod app, p9, change column",Expansion of polypropylene production from 1.25 billion pounds per year to 1.3 billion pounds per year. Pinnacle plans to accomplish this via adding efficiency measures and increasing operational time of existing equipment.,Plastic Resin Manufacturing,True,"8/9/22 app, pg 19
https://api.oilandgaswatch.org/d/b7/78/b77875ed7f7c47e88903ad26b74b94df.1685653126.pdf

and 6/19/23 modification app
https://edms.deq.louisiana.gov/app/doc/view?doc=13876963 ",,,0.0,1.54,Lottie Mitchell,6437,6437,Alexandra Shaykevich,Pinnacle Polymers Garyville Plant - Expansion,"{'createdAt': '2023-06-01T20:24:45.62Z', 'updatedAt': '2024-04-08T17:49:47.871756Z', 'version': 5}",Polypropylene,2023-07-19T00:00:00Z,,,,,,,,
,2025,,Expansion,,,,,,Petrochemicals and Plastics,,,Proposed,[],,,,"Expansion of the chlor-alkali and VCM units by 0.75 and 1.09 million pounds per day, respectively. The chlor-alkali unit uses salt brine from nearby wells to produce chlorine, and the VCM unit produces VCM by reacting chlorine and ethylene.",Plastic Resin Manufacturing,True,"AS 9/26/24 - couldn't find permit app for this project, assumed still tbd
LPDES permit describes expansion project, says it will be operational by 2025 ",,,,,Lottie Mitchell,6440,6440,AS,Westlake Vinyls VCM-E Facility - VCM and Chlor-alkali Expansion,"{'createdAt': '2023-06-02T17:47:51.702Z', 'updatedAt': '2024-09-26T17:04:24.745291Z', 'version': 7}","Polyvinyl Chloride (PVC), Vinyl Chloride Monomer (VCM), Vinyl Chloride",2023-08-08T00:00:00Z,,2025,,,,True,,
,Unknown,,Expansion,,,,,,Petrochemicals and Plastics,,,Proposed,[],,,,"Construction of a new electric steam cracking furnace at the Channelview Complex. The technology was developed by Technip Energies; LyondellBasell and Chevron Phillips Chemical are partnering on the design, construction, and operation of the ""demonstration"" unit, which, according to the companies, could reduce greenhouse gas emissions from the steam cracking process by up to 90 percent.",Ethane Cracker,True,"AS 6/2/23 - can't find information on construction timeline, or any other examples of where this technology has been installed
https://hydrocarbonprocessing.com/news/2023/05/technip-energies-lyondellbasell-and-chevron-phillips-chemical-sign-mou-for-electric-steam-cracking-furnace?oly_enc_id=8353D0914023B5R ",,,,,Alexandra Shaykevich,6441,6441,Lottie Mitchell,Channelview New Steam Cracking Furnace,"{'createdAt': '2023-06-02T17:55:26.167Z', 'updatedAt': '2024-04-08T17:49:48.126639Z', 'version': 5}",Ethylene,2023-08-08T00:00:00Z,,Unknown,,,,,,
,Unknown,,Expansion,,,,,,Ammonia and Synthetic Fertilizers,,,Proposed,[],,,,"Construction of a 100-megawatt electrolysis plant to produce hydrogen that would be powered by a nearby 450-megawatt renewable energy facility. The hydrogen would be used to produce up to 100,000 metric tons of ammonia each year.","Ammonia or Fertilizer, Hydrogen Plant",True, https://www.ammoniaenergy.org/articles/cf-industries-and-nextera-team-up-for-a-renewable-ammonia-joint-venture/,,,,,Lottie Mitchell,6444,6444,Keene Kelderman,Verdigris Nitrogen Plant - Renewable Hydrogen Project,"{'createdAt': '2023-06-02T19:49:03.048Z', 'updatedAt': '2024-04-08T17:49:48.2211Z', 'version': 8}","Green Ammonia, Ammonia Fertilizer, Green Hydrogen",2023-06-02T00:00:00Z,,Unknown,,,,,,
2023,2023,0.12,Expansion,,,,,,Petrochemicals and Plastics,,0.01,Operating,[],,-5.27,emissions from 1004-V3 final permit,A project to increase PVC production by 530 tons per day.,Plastic Resin Manufacturing,True,"AS 6/23/23 - pg 12 of the permit app (12/15/2017) states construction to begin in 2019 and operations by Q4 2020 - construction company website (Jan 12, 2023) suggest project as completed in early 2023
https://www.turner-industries.com/projects/formosa-btr-pvc-expansion-project/

CM 6/2/23: LPDES permit renewal app submitted on 9.1.22 mentions that a PVC expansion is underway, but I cannot find the associated air permit for the project ",,,0.01,15.15,Lottie Mitchell,6445,6445,Alexandra Shaykevich,Formosa Baton Rouge - PVC Expansion Project,"{'createdAt': '2023-06-02T21:19:51.545Z', 'updatedAt': '2024-04-08T17:49:48.368078Z', 'version': 6}",Polyvinyl Chloride (PVC),2023-06-23T00:00:00Z,,,,,,,,
,Unknown,22.39,Expansion,,,,,,Oil,,29.6,Proposed,[],,0.25,emissions from p9 of draft permit,"Replacement of the 5,100 barrel/day Hydrogen Fluoride Alkylation Unit with a Solid Acid Alkylation Technology Alkylation Unit to increase alkylate yield.",Refinery,True,CM 3/19/24: march 2023 project entered FEED https://www.kbr.com/en/insights-news/press-release/cvr-energy-proceeds-alkylation-project-using-kbrs-k-saat-technology,,,14.31,38.09,Lottie Mitchell,6446,6446,Lottie Mitchell,Wynnewood Refinery - Alkylation Unit Replacement,"{'createdAt': '2023-06-02T21:57:48.072Z', 'updatedAt': '2024-04-08T17:49:48.487947Z', 'version': 7}",,2024-03-19T20:05:52.607Z,,Unknown,,,,,,
,2025,,New,,,,,,"Ammonia and Synthetic Fertilizers, Carbon Capture Use and Storage (CCUS), Hydrogen, Other",,,Proposed,"[{'id': '5u27ug04ed55dcjoafcimn3664', 'name': '2022.1.5 G2-McDermott News Release.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 151340, 'version': 2, 'url': 'https://us-east-1.storage.xata.sh/1kd40h4lah03j9t31mti9vq680'}]","{'name': None, 'file_name': '2022.1.5 G2-McDermott News Release.pdf', 'url': 'https://api.oilandgaswatch.org/d/62/ca/62ca90924c8941228fc260ad5e1e3e53.1685969917.pdf'}",,,"Construction of the G2 Net-Zero Energy Complex, which would produce ""blue"" ammonia using fracked natural gas, as well as electricity and industrial gases—like argon, hydrogen, nitrogen, and oxygen.","Ammonia or Fertilizer, Carbon Capture from Industry, Hydrogen Plant, Other Inorganic Gases",True,"AS 10/31/24 - no indication that this is even close to moving forward; no news since the LNG portion of the project as canceled in April 23

CM 1/31/24: still can't determine what ammonia is for. Included both sectors/project types/product types

unclear is blue ammonia would be used for fuel or fertilizer (likely both) - project website include no details on project development - application to withdraw LNG export authorization submitted in late March 2023 + shift to blue ammonia announced

http://g2netzero.com/index.html

https://www.theadvocate.com/baton_rouge/news/business/g2-net-zero-nixes-lng-export-plant-in-cameron-parish/article_16c19872-d49a-11ed-9b32-e7fdd4e1e96a.html",,,,,Alexandra Shaykevich,6448,6448,AS,G2 Energy Complex - Initial Construction,"{'createdAt': '2023-06-05T12:42:51.399Z', 'updatedAt': '2024-10-31T19:41:20.117499Z', 'version': 13}","Ammonia Fertilizer, Ammonia Fuel, Blue Ammonia, Blue Hydrogen",2023-06-05T00:00:00Z,,2025,,,,,,
,,,New,,,,,,Liquefied Natural Gas (LNG),,,Canceled,[],,,will submit DWP license app to MARAD - no app as of 6/5/23; App withdrawn 2/29/2024.,"Construction of the Grand Isle LNG export terminal, which is planned in two phases. When complete, the plant will consist of an accommodations platform, two gas treatment platforms, two liquefaction platforms each capable of producing 2.1 million metric tons of LNG per year, two loading platforms, one thermal oxidizer platform, and two 155,000 cubic meter storage and offloading vessels.",LNG Export Terminal or Liquefaction Plant,True,"AS 11/8/24 - calling this one canceled; can't access company's request to withdraw MARAD app, or news announcing cancelation, but it was flagged by Sarah Kafka as a canceled project and there's no evidence that it's moving forward

https://grandislelng.com/2023/06/01/proposed-gulf-of-mexico-lng-export-facility-announced/

project announced on 6/1/23

MARAD permit withdrawn 2/29/2024",,,,,Alexandra Shaykevich,6451,6451,as,Grand Isle LNG Terminal - Initial Construction,"{'createdAt': '2023-06-05T14:19:47.518Z', 'updatedAt': '2024-11-08T19:20:45.0687Z', 'version': 8}",,2024-11-08T19:20:43.853Z,,,2026,,,,,
2021,2021,0.4,Expansion,,,,,,Petrochemicals and Plastics,,0.43,Operating,"[{'id': '4ia7pls1it79rdnuou4nfuihvs', 'name': '2021.06.10 Notification of Date of Construction Completion.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 289286, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/dtr7konfbh7gv67lkoe76usmgk'}]","{'name': None, 'file_name': '2021.06.10 Notification of Date of Construction Completion.pdf', 'url': 'https://api.oilandgaswatch.org/d/ea/62/ea62a9d2cd4943c9b00a6b447cbfd1e9.1685983439.pdf'}",0.71,"DEHA optimization project originally authorized under V5 permit, issued 1/26/2009; ","The DEHA Optimization Project would increase production of diethylhydroxylamine (DEHA), a chemical used in water treatment and synthetic rubber production, and as a photographic developer, antioxidant, and corrosion inhibitor. The CBase Project would involve building a new choline hydroxide unit, which involves a reaction between ethylene oxide, trimethylamine, and water. Chlorine hydroxide is primarily used in industry as a pH regulating agent.",Other Organic Chemicals,True,"notification of construction completion submitted 6/10/21
----
construction to commence 11/2019 - operation expected in 1/2020 (V16 permit app, pg 13) ",,,0.12,10.16,Alexandra Shaykevich,6455,6455,Alexandra Shaykevich,DEHA Optimization Project and Chlorine Hydroxide (CBase) Project,"{'createdAt': '2023-06-05T16:10:03.399Z', 'updatedAt': '2024-04-08T17:49:48.836073Z', 'version': 7}",,2023-06-05T00:00:00Z,,,,,,,,
,2030,,New,,,,,,Carbon Capture Use and Storage (CCUS),,,Proposed,[],,,,"Initial construction of the Houston Carbon Capture Hub, which would be capable of sequestering 50 million metric tons of carbon dioxide per year by 2030.",Carbon Sequestration Site or Hub,True,"50 million metric tons of storage per year by 2030, according to news announcement

https://corporate.exxonmobil.com/news/news-releases/2022/0120_industry-support-for-large-scale-carbon-capture-and-storage-gains-momentum-in-houston ",,,,,Lottie Mitchell,6464,6464,Alexandra Shaykevich,Houston Carbon Capture Hub - Initial Construction,"{'createdAt': '2023-06-08T20:25:34.949Z', 'updatedAt': '2024-04-08T17:49:48.951307Z', 'version': 7}",,2023-06-08T00:00:00Z,,2030,,,,,,
,Unknown,,New,,,,,,Petrochemicals and Plastics,,,Proposed,[],,,,"Initial construction of the plant. The first phase of the plant would have the capacity to process approximately 30,000 metric tons of plastic per year. Later phases may increase processing capacity to 120,000 metric tons per year.",Chemical Recycling Plant,True, https://www.sustainableplastics.com/news/mou-gives-braskem-exclusive-rights-output-new-nexus-facility,,,,,Lottie Mitchell,6467,6467,Lottie Mitchell,Nexus Circular Chicago Plant - Initial Construction,"{'createdAt': '2023-06-09T17:26:00.906Z', 'updatedAt': '2024-04-08T17:49:49.063507Z', 'version': 5}",,2023-06-09T00:00:00Z,,Unknown,,,,,,
,2024,23.9,New,0.01,6900.0,34153.0,,,Petrochemicals and Plastics,7.0,42.7,Under Construction,[],,1.26,,"Construction of the Revalyu plant, which will have an initial production capacity of 40,234 tons per year of recycled PET polyester (rPET). This facility is a synthetic minor source of volatile organic compounds and hazardous air pollutants. Revalyu has requested that emissions of volatile organic compounds be limited to less than 100 tons per year. Emissions of ethylene glycol (a hazardous air pollutant) are required to be less than 10 tons per year, or less than 25 tons per year for any combination of hazardous air pollutants.",Chemical Recycling Plant,True,"AS 10/18/25 - added permit and updated emissions; removed from project description ""will have an initial processing capacity of 225,000 pounds of PET waste per day.""
updated operating status; construction began in 2023
https://www.statesboroherald.com/local/recycling-company-revalyu-breaks-ground-bulloch-factory/
project costs and operating date from
https://www.revalyu.com/news/revalyu-resources-breaks-ground-on-its-first-pet-recycling-facility-in-the-united-states/",1580138.0,5886787.0,0.17,,Lottie Mitchell,6469,6469,AS,Revalyu Statesboro Plant - Initial Construction,"{'createdAt': '2023-06-09T18:05:04.209Z', 'updatedAt': '2024-10-19T03:07:27.401285Z', 'version': 12}",,2024-10-18T17:57:22.029Z,200.0,Q3 2025,2024,,,,,
,Unknown,37.02,Expansion,,,,,,Petrochemicals and Plastics,,9.18,Proposed,[],,3.79,technical review - baseline actual to allowable,Construction of a new dimethyl disulfide (DMDS) production line at the Arkema Beaumont Plant. DMDS is a chemical used in oil refineries as a sulfiding agent and as a soil fumigant in agriculture.,Other Organic Chemicals,True,need to submit foia for app - not online (AS 6/9/23) ,,,14.38,5.31,Alexandra Shaykevich,6472,6472,Alexandra Shaykevich,Arkema Beaumont - New DMDS Line,"{'createdAt': '2023-06-09T20:44:50.756Z', 'updatedAt': '2024-04-08T17:49:49.312144Z', 'version': 5}",,2023-06-09T00:00:00Z,,Unknown,,,,,,
,2024,,New,,,,,,"Hydrogen, Petrochemicals and Plastics",,,Proposed,[],,,,"Initial construction of the plant. Phase one would process 100 tons of plastic per day, with growth to 500 tons per day possible.","Chemical Recycling Plant, Hydrogen Plant",True," https://fox59.com/business/press-releases/accesswire/759271/clean-visions-subsidiary-clean-seas-west-virginia-signs-moa-to-leverage-state-funding-to-establish-major-clean-energy-plastic-conversion-facility/

https://governor.wv.gov/News/press-releases/2023/Pages/Gov.-Justice-announces-Clean-Vision-Corporation-to-invest-$50-million,-build-facility-in-Kanawha-County.aspx

https://www.clean-seas.com/post/clean-seas-west-virginia-signs-moa-to-establish-clean-energy-plastic-conversion-facility",,,,,Lottie Mitchell,6476,6476,Alexandra Shaykevich,Clean-Seas WV - Initial Construction,"{'createdAt': '2023-06-12T14:53:31.261Z', 'updatedAt': '2024-04-08T17:49:49.425636Z', 'version': 6}",,2023-06-12T00:00:00Z,50.0,2024,,,,,,
,Unknown,,New,,,,,,"Hydrogen, Petrochemicals and Plastics",,,Proposed,[],,,,"Construction of a new chemical recycling facility, which would use pyrolysis to convert plastic waste into new plastics and hydrogen. The project would be developed with Arizona State University and, according to the company, could consume more than 850,000 tons of plastic waste over its 25-year life span.","Chemical Recycling Plant, Hydrogen Plant",True," https://www.clean-seas.com/post/clean-seas-partners-with-asu-s-walton-sustainability-solutions-service-on-50m-facility-in-us

company website says it plans to make 'clean fuels': marked project as producing H2 fuel",,,,,Alexandra Shaykevich,6479,6479,Keene Kelderman,Clean-Seas AZ - Initial Construction,"{'createdAt': '2023-06-13T20:18:40.283Z', 'updatedAt': '2024-04-08T17:49:49.529484Z', 'version': 7}",Hydrogen Fuel,,50.0,Unknown,,,,,,
,2024,,New,,,,,,"Hydrogen, Petrochemicals and Plastics",,,Proposed,[],,,,"Construction of a new chemical recycling facility, which would use pyrolysis to convert plastic waste into new plastics and hydrogen. The new plant would be capable of processing 50 tons of plastic waste per day during Phase I of operations, with plans to expand to 500 tons per day in Phase II.","Chemical Recycling Plant, Hydrogen Plant",True,"https://www.clean-seas.com/post/clean-vision-s-clean-seas-enters-into-joint-venture-agreement-for-fourth-u-s-project 20 million for phase 1 (see op status source)

https://newaygocity.org/documents/Council_MIN_20221212_8M6ij.pdf",,,,,Alexandra Shaykevich,6481,6481,Alexandra Shaykevich,Clean-Seas MI - Initial Construction,"{'createdAt': '2023-06-13T21:05:56.499Z', 'updatedAt': '2024-04-08T17:49:49.625954Z', 'version': 6}",,,20.0,2024,,,,,,
,2023,,New,,,,,,"Hydrogen, Petrochemicals and Plastics",,,Proposed,[],,,,"Construction of a new chemical recycling facility, which would use pyrolysis to convert plastic waste into fuel and hydrogen. The new plant would be capable of processing 50 tons of plastic waste per day, with plans to expand to 500 tons per day.","Chemical Recycling Plant, Hydrogen Plant",True,"AS 4/10/24 - no news since April 2022 announcement; can't find name of JV w/ Main Line Ventures LLC of PR; project originally expected in Q4 23, updated to 24
https://finance.yahoo.com/news/clean-visions-clean-seas-sets-123000219.html
---
https://www.clean-seas.com/post/clean-vision-s-clean-seas-sets-jv-to-develop-a-waste-plastic-to-energy

CM 1/31/24: company website says it intends to produce clean fuels: marked project as producing H2 fuel https://www.clean-seas.com/ ",,,,,Alexandra Shaykevich,6484,6484,Keene Kelderman,Clean-Seas PR - Initial Construction,"{'createdAt': '2023-06-14T15:10:18.282Z', 'updatedAt': '2024-04-10T13:02:14.828388Z', 'version': 8}",Hydrogen Fuel,,,2024,2023,,,,,
,2024,75.21,New,0.04,33654.0,166564.0,24.89,49780.0,Natural Gas,34.0,165.9,Under Construction,"[{'id': 'nb47jcnuql0bf7pn0p99u08bq8', 'name': '2023.10.13_Grays Peak Compressor_Initial Notification of Construction.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 83253, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/9hp8r02tj53gt9etotsvtkfrbs'}]","{'name': None, 'file_name': '2023.10.13_Grays Peak Compressor_Initial Notification of Construction.pdf', 'url': 'https://api.oilandgaswatch.org/d/e2/6f/e26f4d5e28374cbf9e8c6740727ff3af.1701445602.pdf'}",10.43,"AS 12/1/23 - no change in final fact sheet
emissions from email fact sheet",Initial construction of the compressor.,Compressor Station,True,,7706322.0,28709829.0,0.71,196.5,Lottie Mitchell,6486,6486,Alexandra Shaykevich,Grays Peak Compressor - Initial Construction,"{'createdAt': '2023-06-16T15:28:39.206Z', 'updatedAt': '2024-07-30T17:51:09.963903Z', 'version': 48}",,2023-12-01T00:00:00Z,,2024,,,,,,
,Unknown,81.84,Expansion,,,,,,Petrochemicals and Plastics,,4.65,Proposed,[],,3.07,"AS 12/3/24 - emissions updated with values in final technical review

emissions from PLS",A research and development plant that would be used to test different operating scenarios to produce small-scale products.,Plastic Resin Manufacturing,True,"PI-1 app states that
Projected Start of Construction: 1Q2024
Projected Start of Operation: 2Q2025
",,,5.53,4.97,Lottie Mitchell,6488,6488,as,Dow Freeport R&D Pilot Plant,"{'createdAt': '2023-06-16T16:37:15.628Z', 'updatedAt': '2024-12-03T21:40:18.016902Z', 'version': 6}",,2023-06-16T00:00:00Z,,2025,,,,,,
,2024,232.3,New,,,,,,Liquefied Natural Gas (LNG),,118.3,Under Construction,[],,11.2,"CM 5/2/24: emissions from AQ1727MSS02 app p12

no change in final permit/tar (AS 12/1/23)
emissions from TAR p3",Initial construction of the facility.,LNG Terminal or Liquefaction Plant,True,"construction began July 2023, according to AQ1727MSS02 permit app

Harvest has begun agency coordination for permitting and is targeting on-pad facility construction to begin July 2023, with
VSM and pipeline installation planned for winter 2023-2024 (during open tundra travel season). Pad infrastructure will
continue to be installed during spring and summer 2024, with facility start-up proposed for 3rd quarter 2024. ",,,55.1,30.0,Lottie Mitchell,6494,6494,Alexandra Shaykevich,Harvest Alaska LNG Facility - Initial Construction,"{'createdAt': '2023-06-16T18:17:10.858Z', 'updatedAt': '2024-05-02T20:12:08.687507Z', 'version': 6}",,2024-05-02T20:12:08.197Z,,2024,,,,,,
,2025,32.53,Expansion,0.02,13786.0,68231.0,0.66,1320.0,Natural Gas,14.0,21.0,Proposed,[],,3.84,,"As part of the South Louisiana Project, two natural gas-fired compressor units at CS 7.5 will each be uprated from 6,500 to 7,700 horsepower.",Compressor Station,True,,3156805.0,11760647.0,1.98,19.12,Tyler Weiglein,6499,6499,TW,CS 7.5 - South Louisiana Project,"{'createdAt': '2023-06-16T18:37:19.653Z', 'updatedAt': '2024-07-30T17:51:10.641796Z', 'version': 51}",,2023-06-16T00:00:00Z,,2025,,0.0,0.0,,,
,2025,16.86,Expansion,0.01,6878.0,34042.0,0.33,660.0,Natural Gas,7.0,10.73,Under Construction,"[{'id': '61c7oj4hph76v0l7c8k70p5j6o', 'name': '2024.07.02_South Louisiana Project_Notice of Commencement of Construction.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 600, 'uploadUrlTimeout': 86400, 'size': 151872, 'version': 3, 'url': 'https://us-east-1.storage.xata.sh/nti20jklit4hd1h71rgmeiek9o'}]",,1.91,"TW 06/16/23
- Emissions from application (RR9 Table 9.1-12) (PDF pg. 189)","As part of the South Louisiana Project, one new 7,700 horsepower natural gas-fired compressor unit will be installed at CS9 along with ancillary equipment.",Compressor Station,True,expected operating date from south louisiana project ,1575002.0,5867654.0,0.98,9.52,Tyler Weiglein,6501,6501,TW,CS 9 - South Louisiana Project,"{'createdAt': '2023-06-16T18:43:35.087Z', 'updatedAt': '2024-07-30T17:51:11.364039Z', 'version': 54}",,2024-07-03T13:37:47.776Z,,2025,,0.0,0.0,,,
,2025,34.61,Expansion,0.02,13242.0,65541.0,0.61,1220.0,Natural Gas,13.0,20.42,Under Construction,"[{'id': 'j14itb2h0h07h01gus3v98c1qs', 'name': '2024.07.02_South Louisiana Project_Notice of Commencement of Construction.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 600, 'uploadUrlTimeout': 86400, 'size': 151872, 'version': 2, 'url': 'https://us-east-1.storage.xata.sh/hl762rpamp41j48apr9p4r28co'}]",,3.69,,"As part of the South Louisiana Project, one new 15,900 horsepower natural-gas fired compressor unit will be install at CS 10 along with ancillary equipment.",Compressor Station,True,,3032348.0,11296984.0,1.9,19.91,Tyler Weiglein,6502,6502,TW,CS 10 - South Louisiana Project,"{'createdAt': '2023-06-16T18:49:24.648Z', 'updatedAt': '2024-07-30T17:51:12.057906Z', 'version': 113}",,2024-07-03T13:37:31.729Z,,2025,,0.0,0.0,,,
